PERSON_ID,NAME,SEX,NAME_EN,NAME_ZH,BIRTH,BIRTHPLACE,CONSTELLATORY,PROFESSION,BIOGRAPHY
1420120,许颂亚,男,,,,,,演员,
1420065,王梦瑶,女,,,,,,演员,
1420306,金善映,女,김선영(本名) / 아리(艺名) / Ari(艺名),,1994/10/23,,,演员,
1420033,杨煌胤 ,男,,,,,,演员,
1420032,杜亭君 ,男,,,,,,演员,
1420031,李佳繁,男,,,,,,演员,
1420380,阿尔乔姆·安东诺夫,男,Артем Антонов,,1978/4/11,"苏联,俄罗斯共和国,列宁格勒",白羊座,导演 / 编剧,
1420027,南光,男,,,,,,演员 / 导演 / 编剧,
1419999,伊凡·舒尔霍夫茨基,男,Иван Шурховецкий,,1981/4/6,,白羊座,导演 / 副导演,
1419996,吕艳婷,女,,吕豆,,,,配音,
1419886,卢卡斯·辛奇,男,,,,,,演员,
1419936,北村雅英,男,トミーズ雅,,1959/12/24,"日本,大阪府",,演员,
1419945,森田望智,女,もりた みさと,,1996/9/13,"日本,神奈川县",处女座,演员,
1419884,格雷森·亨特·温,女,,,,,,演员,
1419882,埃米莉·科克兰,女,,,,新西兰,,演员 / 编剧,
1419877,艾尔弗雷德·希梅诺,男,,,,,,导演,
1420010,桥本晃一,男,Hashimoto Kôichi / 三桥洋一(旧名) / 橋本晃一,橋本晃一 / 三桥洋一(旧名) / 三桥阳一,1953/1/12,"日本,千叶县",摩羯座,配音,
1419858,孙晨竣,男,,,1996/1/26,"中国,江苏,邳州",水瓶座,演员,
1419688,雷内‧莫兰,男,,,,,,演员,
1419698,本·福克纳,男,,,,,,演员,
1419650,苏小淳,女,,,,,,演员,
1419635,纳帕猜·贾亚纳马,男,,,,泰国,,演员,
1419651,陈嘉雯,女,,,,,,演员,
1419608,凯拉·卡瑞尔,女,,,,,,演员,
1419615,温尼·贝内特,女,,,,,,演员,
1419605,约瑟夫·恩格尔,男,,,,,,演员,
1419577,张伟,男,,,,,,配音,
1419568,安娜‧卡梅隆,女,,,,,,演员,
1419553,欧谭凯,男,,,,,,导演,
1419559,朱辉,男,,,,,,演员,
1419586,塔妮娅·加里巴,女,,,,,,演员,
1419540,塔莉亚·斯图尔扎克,女,,,,,,演员,
1419521,黑河奈美,女,黒河奈美 / 本山美奈,,1980/1/25,"日本,大阪府",水瓶座,配音,2000年、アミューズメントメディア総合学院大阪校卒業。 事務所系列の「劇団すごろく」において舞台活動も行っていたが、2007年6月30日をもって退団した。
1419519,松本吉朗,男,松本吉朗 / 日向日陰 / 松本ヨシロヲ / 松本ヨシロウ,,1972/12/5,"日本,兵库县",射手座,配音 / 演员,
1419534,柴本浩行,男,,柴本广之 / 川口亮 / 阿部健多 / 阿部健太,1955/12/18,"日本,爱知县,岩仓市",射手座,配音,
1419468,叶甫根尼·米赫耶夫,男,Евгений Михеев,,,俄罗斯,,演员,
1419467,谢尔盖·霍尔莫戈罗夫,男,Сергей Холмогоров,,1954/5/19,"苏联,俄罗斯共和国,莫斯科",,演员,
1419446,川濑晶子,女,川瀬晶子 / 山田晶子,,1980/6/29,"日本,东京都",巨蟹座,配音,庆应义塾大学法学部毕业。
1419416,申琦,男,,,,,,演员,
1419411,安德烈·切尔内绍夫,男,,,1973/2/3,"乌克兰,基辅",,演员,
1419300,松田飒水,女,,松田颯水,,,,配音,
1419280,土门仁,男,,土門仁,1972/6/22,,巨蟹座,配音 / 演员,
1419267,松大航也,男,,,,,,演员,
1419252,克兹托夫·克里斯·马杜拉,男,,,,,,演员,
1419250,莱克斯·艾尔,男,,,,,,演员,
